date,time,action,resource_type,file,script,extra
2025-12-03,13:45:05,read,data,data/input/1554.csv,etl_vaca_single.py,"{""purpose"": ""etl_vaca_single_input"", ""source"": ""s3"", ""shape"": [279, 35]}"
2025-12-03,13:45:07,read,model,trained_models/randomForest/comportamiento_rf_best_pipeline_v2.1.joblib,integration_v2.py,"{""purpose"": ""integration_behavior_model"", ""source"": ""s3""}"
2025-12-03,13:45:07,read,model,trained_models/isolationForest/iso_sanidad_pipeline_v2.1.joblib,integration_v2.py,"{""purpose"": ""integration_health_model"", ""source"": ""s3""}"
2025-12-03,13:45:07,read,data,data/merito_productivo/merito_productivo_vacas.csv,integration_v2.py,"{""purpose"": ""integration_merito_productivo"", ""source"": ""s3"", ""shape"": [34, 5]}"
2025-12-03,13:46:49,read,data,data/input/8755.csv,etl_vaca_single.py,"{""purpose"": ""etl_vaca_single_input"", ""source"": ""s3"", ""shape"": [303, 35]}"
2025-12-03,13:46:51,read,model,trained_models/randomForest/comportamiento_rf_best_pipeline_v2.1.joblib,integration_v2.py,"{""purpose"": ""integration_behavior_model"", ""source"": ""s3""}"
2025-12-03,13:46:51,read,model,trained_models/isolationForest/iso_sanidad_pipeline_v2.1.joblib,integration_v2.py,"{""purpose"": ""integration_health_model"", ""source"": ""s3""}"
2025-12-03,13:46:52,read,data,data/merito_productivo/merito_productivo_vacas.csv,integration_v2.py,"{""purpose"": ""integration_merito_productivo"", ""source"": ""s3"", ""shape"": [34, 5]}"
2025-12-03,13:47:55,read,data,data/input/8756.csv,etl_vaca_single.py,"{""purpose"": ""etl_vaca_single_input"", ""source"": ""s3"", ""shape"": [530, 35]}"
2025-12-03,13:47:57,read,model,trained_models/randomForest/comportamiento_rf_best_pipeline_v2.1.joblib,integration_v2.py,"{""purpose"": ""integration_behavior_model"", ""source"": ""s3""}"
2025-12-03,13:47:58,read,model,trained_models/isolationForest/iso_sanidad_pipeline_v2.1.joblib,integration_v2.py,"{""purpose"": ""integration_health_model"", ""source"": ""s3""}"
2025-12-03,13:47:58,read,data,data/merito_productivo/merito_productivo_vacas.csv,integration_v2.py,"{""purpose"": ""integration_merito_productivo"", ""source"": ""s3"", ""shape"": [34, 5]}"
2025-12-03,13:48:14,read,data,data/input/1634.csv,etl_vaca_single.py,"{""purpose"": ""etl_vaca_single_input"", ""source"": ""s3"", ""shape"": [133, 35]}"
2025-12-03,13:48:16,read,model,trained_models/randomForest/comportamiento_rf_best_pipeline_v2.1.joblib,integration_v2.py,"{""purpose"": ""integration_behavior_model"", ""source"": ""s3""}"
2025-12-03,13:48:16,read,model,trained_models/isolationForest/iso_sanidad_pipeline_v2.1.joblib,integration_v2.py,"{""purpose"": ""integration_health_model"", ""source"": ""s3""}"
2025-12-03,13:48:17,read,data,data/merito_productivo/merito_productivo_vacas.csv,integration_v2.py,"{""purpose"": ""integration_merito_productivo"", ""source"": ""s3"", ""shape"": [34, 5]}"
